"Date","Industry","Value"
1939-10-01,"U.S. Postal Service",0.3207
1939-11-01,"U.S. Postal Service",0.3189
1939-12-01,"U.S. Postal Service",0.3499
1940-01-01,"U.S. Postal Service",0.3196
1940-02-01,"U.S. Postal Service",0.3223
1940-03-01,"U.S. Postal Service",0.323
1940-04-01,"U.S. Postal Service",0.3219
1940-05-01,"U.S. Postal Service",0.3245
1940-06-01,"U.S. Postal Service",0.3267
1940-07-01,"U.S. Postal Service",0.3258
1940-08-01,"U.S. Postal Service",0.327
1940-09-01,"U.S. Postal Service",0.3278
1940-10-01,"U.S. Postal Service",0.3277
1940-11-01,"U.S. Postal Service",0.3276
1940-12-01,"U.S. Postal Service",0.3658
1941-01-01,"U.S. Postal Service",0.3294
1941-02-01,"U.S. Postal Service",0.3302
1941-03-01,"U.S. Postal Service",0.3319
1941-04-01,"U.S. Postal Service",0.3342
1941-05-01,"U.S. Postal Service",0.3357
1941-06-01,"U.S. Postal Service",0.3385
1941-07-01,"U.S. Postal Service",0.3393
1941-08-01,"U.S. Postal Service",0.3404
1941-09-01,"U.S. Postal Service",0.3414
1941-10-01,"U.S. Postal Service",0.3396
1941-11-01,"U.S. Postal Service",0.3411
1941-12-01,"U.S. Postal Service",0.3776
1942-01-01,"U.S. Postal Service",0.3444
1942-02-01,"U.S. Postal Service",0.3423
1942-03-01,"U.S. Postal Service",0.344
1942-04-01,"U.S. Postal Service",0.342
1942-05-01,"U.S. Postal Service",0.344
1942-06-01,"U.S. Postal Service",0.3424
1942-07-01,"U.S. Postal Service",0.3416
1942-08-01,"U.S. Postal Service",0.3407
1942-09-01,"U.S. Postal Service",0.3399
1942-10-01,"U.S. Postal Service",0.3403
1942-11-01,"U.S. Postal Service",0.3465
1942-12-01,"U.S. Postal Service",0.405
1943-01-01,"U.S. Postal Service",0.3456
1943-02-01,"U.S. Postal Service",0.3442
1943-03-01,"U.S. Postal Service",0.3439
1943-04-01,"U.S. Postal Service",0.3384
1943-05-01,"U.S. Postal Service",0.3398
1943-06-01,"U.S. Postal Service",0.3439
1943-07-01,"U.S. Postal Service",0.3439
1943-08-01,"U.S. Postal Service",0.3511
1943-09-01,"U.S. Postal Service",0.3556
1943-10-01,"U.S. Postal Service",0.3663
1943-11-01,"U.S. Postal Service",0.37
1943-12-01,"U.S. Postal Service",0.5636
